Topic (Sub-Lesson),Question Text,Options (A|B|C|D),Correct Answer
Sampling distribution of a sample proportion (khanacademy.org),The standard deviation of the sampling distribution of p-hat equals,p(1 − p)/n | p/n | √(np(1 − p)) | √(p(1 − p)/n),√(p(1 − p)/n)
Sampling distribution of a sample proportion (khanacademy.org),"If the population proportion is p = 0.5 and the sample size is n = 100, the mean of p-hat is",0.05 | 5 | 0.5 | 50,0.5
Sampling distribution of a sample proportion (khanacademy.org),"If the population proportion is p = 0.5 and the sample size is n = 100, the standard deviation of p-hat is",0.05 | 0.5 | 5 | 0.25,0.05
Sampling distribution of a sample proportion (khanacademy.org),"Holding the population proportion fixed, increasing the sample size n causes the standard deviation of p-hat to",stay the same | decrease | equal p | increase,decrease
Sampling distribution of a sample mean (khanacademy.org),"For the sample mean x-bar, the mean of its sampling distribution equals",σ/√n | n·μ | σ | μ,μ
Sampling distribution of a sample mean (khanacademy.org),The standard deviation of the sampling distribution of x-bar equals,σ/√n | μ/√n | σ | σ²,σ/√n
Sampling distribution of a sample mean (khanacademy.org),"If the population mean is μ = 20, what is the mean of the sampling distribution of x-bar?",It depends on n | 40 | 10 | 20,20
Sampling distribution of a sample mean (khanacademy.org),"If the population standard deviation is σ = 12 and the sample size is n = 9, what is the standard deviation of x-bar?",3 | 12 | 9 | 4,4
Sampling distribution of a sample mean (khanacademy.org),"As the sample size n increases, the sampling distribution of x-bar becomes",always more skewed | perfectly uniform | less spread out | more spread out,less spread out
Introduction to confidence intervals (khanacademy.org),A confidence interval is best described as,a plausible range of values for a population parameter | the single observed value of the sample mean | the exact probability the parameter lies in that range | a range guaranteed to contain the value for every sample,a plausible range of values for a population parameter
Introduction to confidence intervals (khanacademy.org),A 95% confidence level means that,about 95% of such intervals would capture the parameter | exactly 95% of the population falls inside the interval | the parameter has a 95% chance of later changing | about 95% of sample values fall inside the interval,about 95% of such intervals would capture the parameter
Introduction to confidence intervals (khanacademy.org),"In a confidence interval of the form x-bar ± margin of error, the margin of error measures",the amount of bias present in the estimate | the center point of the confidence interval | the size of the sample that was collected | the distance from the statistic to each endpoint,the distance from the statistic to each endpoint
Introduction to confidence intervals (khanacademy.org),"Holding the sample fixed, a wider confidence interval usually results from",wanting a more precise estimate | having smaller variability in the data | choosing a higher confidence level | collecting a larger sample size,choosing a higher confidence level
Introduction to confidence intervals (khanacademy.org),"Holding the confidence level fixed, increasing the sample size usually makes a confidence interval",narrower | statistically invalid | wider | centered at 0,narrower
Estimating a population proportion (khanacademy.org),Which symbol denotes the sample-based point estimate of an unknown population proportion p?,μ (population mean) | p-hat (the sample proportion) | σ (population std. dev.) | r (correlation coeff.),p-hat (the sample proportion)
Estimating a population proportion (khanacademy.org),A confidence interval for an unknown population proportion p is centered at which value?,The sample proportion p-hat | The critical z-score cutoff | The population standard deviation | The chosen significance level,The sample proportion p-hat
Estimating a population proportion (khanacademy.org),A sample gives p-hat = 0.6 with a margin of error of 0.08. What is the resulting confidence interval for p?,"(0.08, 0.60) | (0.52, 0.68) | (0.60, 0.08) | (0.68, 0.52)","(0.52, 0.68)"
Estimating a population proportion (khanacademy.org),"Holding the confidence level fixed, how does increasing the sample size usually change the margin of error for p?",Makes it negative | Makes it smaller | Makes it larger | Makes it equal to p,Makes it smaller
Estimating a population mean (khanacademy.org),Which symbol denotes the sample-based point estimate of an unknown population mean μ?,p-hat (sample proportion) | x-bar (the sample mean) | z (standard score) | σ (population std. dev.),x-bar (the sample mean)
Estimating a population mean (khanacademy.org),A confidence interval for an unknown population mean μ is centered at which value?,The reported margin of error | The sample standard deviation | The chosen confidence level | The sample mean x-bar,The sample mean x-bar
Estimating a population mean (khanacademy.org),A sample gives x-bar = 72 with a margin of error of 3. What is the resulting confidence interval for μ?,"(72, 3) | (70, 74) | (69, 75) | (75, 69)","(69, 75)"
Estimating a population mean (khanacademy.org),"Which change, on its own, usually narrows a confidence interval for a population mean μ?",Greater data variability | A larger sample size | A higher confidence level | A smaller sample size,A larger sample size
Estimating a population mean (khanacademy.org),"If the sample mean increases but the margin of error stays the same, how does the confidence interval for μ change?",It becomes invalid | It gets narrower only | It gets wider only | It shifts upward,It shifts upward
More confidence interval videos (khanacademy.org),"For a fixed sample, which statement describes a common tradeoff when building a confidence interval?",The margin of error has no real effect | Larger samples yield wider intervals | Higher confidence yields a narrower interval | Higher confidence yields a wider interval,Higher confidence yields a wider interval
More confidence interval videos (khanacademy.org),What role does the margin of error play in a confidence interval?,It sets the interval width around the statistic | It quantifies the underlying causal effect | It replaces the chosen overall confidence level | It directly reports the raw sample size used,It sets the interval width around the statistic
More confidence interval videos (khanacademy.org),A sample gives x-bar = 50 with a margin of error of 2. What is the resulting confidence interval for the mean?,"(50, 2) | (48, 52) | (52, 48) | (49, 51)","(48, 52)"
More confidence interval videos (khanacademy.org),"Two confidence intervals share the same center, but one is wider. The wider interval must have which feature?",A larger margin of error | A smaller confidence level | A smaller margin of error | A larger sample size,A larger margin of error
The idea of significance tests (khanacademy.khanacademy.org),What is the main purpose of a significance test?,To weigh evidence against a null hypothesis | To produce a single point estimate of a value | To report only the chosen confidence level | To prove the stated null hypothesis is true,To weigh evidence against a null hypothesis
The idea of significance tests (khanacademy.khanacademy.org),"In a significance test, what does the null hypothesis typically represent?","The researcher's own claim, by default | A statement that is guaranteed false | A claim of no effect or no difference | The value of the observed sample statistic",A claim of no effect or no difference
The idea of significance tests (khanacademy.khanacademy.org),What does a small p-value indicate in a significance test?,Weak evidence against the null | That the null hypothesis is certainly true | That the collected sample size was small | Strong evidence against the null,Strong evidence against the null
The idea of significance tests (khanacademy.khanacademy.org),"If the p-value is less than the significance level α, what is the standard decision?",Accept the null as proven | Fail to reject the null | Increase the sample mean | Reject the null hypothesis,Reject the null hypothesis
The idea of significance tests (khanacademy.khanacademy.org),Which statement correctly describes what a p-value measures?,The probability that the data prove a causal link | How surprising the data are if the null holds | The overall confidence level chosen for the test | The probability that the null hypothesis is actually true,How surprising the data are if the null holds
Error probabilities and power (khanacademy.org),"In hypothesis testing, when does a Type I error occur?",We reject a null that is true | We reject a null that is false | We fail to reject a true null | We fail to reject a false null,We reject a null that is true
Error probabilities and power (khanacademy.org),"In hypothesis testing, when does a Type II error occur?",We set the value of α to 0.05 | We correctly reject a null that is false | We fail to reject a false null | We mistakenly reject a null that is true,We fail to reject a false null
Error probabilities and power (khanacademy.org),The power of a hypothesis test is the probability of which outcome?,Obtaining a p-value larger than α | Rejecting a null that is false | Committing a Type I error in the test | Incorrectly rejecting a null that is true,Rejecting a null that is false
Error probabilities and power (khanacademy.org),"Holding other factors constant, how does increasing the sample size usually affect the power of a test?",It decreases power | It has no effect on power | It guarantees a Type I error | It increases power,It increases power
Tests about a population proportion (khanacademy.org),"In a one-sample z-test for a proportion, the parameter named in the null hypothesis is the population",mean μ | proportion p | correlation r | standard deviation σ,proportion p
Tests about a population proportion (khanacademy.org),The z test statistic in a one-sample proportion test measures how far the,observed p-hat lies from p0 in standard errors | sample mean x-bar lies from μ in raw units | sample median sits above the sample mean | correlation r lies from a value of 0,observed p-hat lies from p0 in standard errors
Tests about a population proportion (khanacademy.org),"When the observed p-hat is many standard errors away from the hypothesized p0, the resulting p-value tends to be",exactly equal to 1 | large | mathematically undefined | small,small
Tests about a population proportion (khanacademy.org),"In a proportion test run at significance level α = 0.05 with a p-value of 0.02, the correct decision is to",collect a larger sample first | fail to reject H0 | reject H0 | accept H0 as proven,reject H0
Tests about a population proportion (khanacademy.org),"In a one-sample proportion test, which quantity is computed directly from the collected data?",the sample proportion p-hat | the claim stated in H0 | the hypothesized value p0 | the significance level α,the sample proportion p-hat
Tests about a population mean (Khan Academy),"In a one-sample t-test about a mean, the parameter named in the null hypothesis is the population",mean μ | proportion p | correlation r | standard deviation σ,mean μ
Tests about a population mean (Khan Academy),Which sample statistic serves as the point estimate in a test about a population mean?,the sample mean x-bar | the sample proportion p-hat | the correlation r | the first quartile Q1,the sample mean x-bar
Tests about a population mean (Khan Academy),"In a test about a mean with significance level α = 0.05, a computed p-value of 0.12 leads you to",accept H0 as true | reject the null H0 | fail to reject H0 | rewrite the null hypothesis,fail to reject H0
Tests about a population mean (Khan Academy),"In a test about a mean, a large positive value of the test statistic indicates the sample mean lies",far above the null value | right at the null value | outside the usable range | far below the null value,far above the null value
Tests about a population mean (Khan Academy),"Holding the effect size fixed, which change typically pushes the p-value of a mean test lower?",a smaller sample size | a lower confidence level | a larger sample size | a higher choice of α,a larger sample size
More significance testing videos (khanacademy.org),"In a significance test, which quantity should be chosen before the data are examined?",the resulting p-value | the observed test statistic | the significance level α | the value of the sample mean,the significance level α
More significance testing videos (khanacademy.org),A significance test that yields a p-value of 0.80 provides,proof that H0 is impossible | proof the sample was biased | strong evidence against H0 | weak evidence against H0,weak evidence against H0
More significance testing videos (khanacademy.org),"When the alternative hypothesis is two-sided, the significance test is sensitive to",only decreases below H0 | differences in either direction | a difference of exactly zero | only increases above H0,differences in either direction
More significance testing videos (khanacademy.org),Rejecting the null hypothesis H0 at significance level α means that the,data give enough evidence against H0 at α | alternative now holds in every population | null has been proven false for certain | sample is known to contain no error,data give enough evidence against H0 at α
More significance testing videos (khanacademy.org),Failing to reject the null hypothesis H0 means that the,sample lacks enough evidence against H0 | p-value must have come out to 1 | alternative hypothesis has been disproven | null H0 has been shown to be true,sample lacks enough evidence against H0
Comparing two proportions (httpswww.khanacademy.org),A two-proportion z-test is used to compare,two correlation values | two standard deviations | two population means | two population proportions,two population proportions
Comparing two proportions (httpswww.khanacademy.org),The sample statistics that drive a two-proportion z-test are,two sample proportions | two sample medians | two sample means | a proportion and a mean,two sample proportions
Comparing two proportions (httpswww.khanacademy.org),"If two samples give p-hat1 = 0.60 and p-hat2 = 0.45, the observed difference p-hat1 − p-hat2 equals",0.27 | −0.15 | 0.15 | 1.05,0.15
Comparing two proportions (httpswww.khanacademy.org),"When a confidence interval for the difference p1 − p2 does not contain 0, this is evidence that",there is no real difference | the two samples are identical | the two proportions add up to 1 | the proportions truly differ,the proportions truly differ
Comparing two proportions (httpswww.khanacademy.org),Which study feature best justifies comparing two proportions with a z-test?,two groups whose underlying means match exactly | an outcome variable with more than ten categories | independent random samples or random assignment | sample sizes for the groups that are exactly equal,independent random samples or random assignment
Comparing two means (httpswww.khanacademy.org),A two-sample t procedure for means is designed to compare which of the following?,Two population variances | One mean and one proportion | Two population means | Two population proportions,Two population means
Comparing two means (httpswww.khanacademy.org),Two samples have means x-bar1 = 82 and x-bar2 = 77. What is the observed difference x-bar1 - x-bar2?,0.94 | 159 | -5 | 5,5
Comparing two means (httpswww.khanacademy.org),A confidence interval for the difference of population means μ1 - μ2 contains 0. What does this indicate?,There is strong evidence of a difference | One of the samples must be biased | The two means are exactly equal | There is no clear evidence of a difference,There is no clear evidence of a difference
Comparing two means (httpswww.khanacademy.org),What kind of response variable is being compared in a two-mean inference procedure?,A binary yes/no outcome | A quantitative response variable | A categorical response variable | A count of distinct categories,A quantitative response variable
Chi-square goodness-of-fit tests (khanacademy.org),What does a chi-square goodness-of-fit test assess?,Whether one sample mean equals a specified target value | Whether an estimated regression slope is equal to zero | Whether observed category counts match a claimed distribution | Whether two quantitative variables are linearly correlated,Whether observed category counts match a claimed distribution
Chi-square goodness-of-fit tests (khanacademy.org),"In a goodness-of-fit test, the chi-square statistic is built by comparing",sample proportions with z-scores | observed counts with expected counts | the sample mean with the sample median | sample correlations with regression slopes,observed counts with expected counts
Chi-square goodness-of-fit tests (khanacademy.org),"If every observed count exactly equals its expected count, the value of the chi-square statistic is",exactly 1 | a large positive number | exactly 0 | a small negative number,exactly 0
Chi-square goodness-of-fit tests (khanacademy.org),A large chi-square goodness-of-fit statistic generally indicates that,observed counts differ substantially from expected counts | observed counts are very close to expected counts | the null hypothesis must be true | the test conditions have been violated,observed counts differ substantially from expected counts
Chi-square goodness-of-fit tests (khanacademy.org),A chi-square goodness-of-fit test is appropriate for data consisting of,counts of categorical outcomes | quantitative measurements | values from a continuous density | residuals from a regression fit,counts of categorical outcomes
Chi-square tests for relationships (khanacademy.org),A chi-square test for a relationship examines whether two categorical variables are,independent or associated | approximately normally distributed | continuous and linearly related | equal in their population means,independent or associated
Chi-square tests for relationships (khanacademy.org),A chi-square test for association between two categorical variables is based on data arranged in a,two-way table of counts | single histogram | stem-and-leaf plot | scatterplot of points,two-way table of counts
Chi-square tests for relationships (khanacademy.org),What does the null hypothesis state in a chi-square test for a relationship between two categorical variables?,The two variables are positively correlated | The two variables are independent | The two variables have equal proportions | The two variables are associated,The two variables are independent
Chi-square tests for relationships (khanacademy.org),"In a chi-square test for a relationship, a large value of the chi-square statistic provides",little difference from the expected counts | evidence of a strong negative correlation | evidence that the row totals are equal | stronger evidence of an association,stronger evidence of an association
Chi-square tests for relationships (khanacademy.org),Which kinds of variables are analyzed in a chi-square test for a relationship?,Two quantitative variables | One categorical and one quantitative variable | Two categorical variables | One response and its derivative,Two categorical variables
Inference about slope (khanacademy.org),Inference about the slope of a regression line is used to assess whether,the intercept of the fitted line is equal to 0 | the value of r-squared is exactly equal to 1 | all of the residuals turn out to be positive | the population slope differs from a value such as 0,the population slope differs from a value such as 0
Inference about slope (khanacademy.org),A confidence interval for the slope of a regression line does not contain 0. What does this suggest?,The intercept of the line equals 0 | The residuals are normally distributed | There is no evidence of a linear relationship | There is evidence the true slope is not 0,There is evidence the true slope is not 0
Inference about slope (khanacademy.org),"In a linear regression model, the slope represents",the predicted change in y per 1-unit rise in x | the strength of the correlation only | the average value of the predictor x | the spread of the residuals about the line,the predicted change in y per 1-unit rise in x
Inference about slope (khanacademy.org),A regression slope estimate is positive and statistically significant. What does this provide evidence of?,No relationship between x and y | A positive linear association | A proven cause-and-effect link | A negative linear association,A positive linear association
Inference about slope (khanacademy.org),"When performing inference about the slope of a population regression line, which parameter is being tested?",The standard deviation sigma | The mean mu | The proportion p | The slope beta,The slope beta
Nonlinear regression (khanacademy.org),Nonlinear regression is the appropriate modeling choice when:,a curved trend fits the data better than a line | the explanatory variables are all categorical labels | a straight line already fits the points closely | the data set happens to contain only two points,a curved trend fits the data better than a line
Nonlinear regression (khanacademy.org),"After fitting a straight line, a residual plot that shows a clear curved pattern is evidence that:",the linear fit is essentially perfect | there is no association at all | a nonlinear model may fit better | the mean of the data was computed wrong,a nonlinear model may fit better
Nonlinear regression (khanacademy.org),Which of the following equations describes a nonlinear relationship between x and y?,y = 2x + 1 | y goes up by 3 for each unit of x | y = x^2 | y = -x + 4,y = x^2
Nonlinear regression (khanacademy.org),Which model form is best suited to capture exponential growth in the response y?,y = x / b | y = b for all x | y = ab^x | y = a + bx,y = ab^x
Nonlinear regression (khanacademy.org),"When deciding between a linear and a nonlinear model for a data set, the key consideration is:",which model best fits the trend and residuals | which equation contains the most math symbols | which equation has the larger coefficient values | which equation is the shortest to write down,which model best fits the trend and residuals
Analysis of variance (ANOVA) (khanacademy.org),One-way ANOVA is used to compare:,two population proportions | exactly two population means | the means of three or more groups | a set of standard deviations,the means of three or more groups
Analysis of variance (ANOVA) (khanacademy.org),What is the null hypothesis in a one-way ANOVA?,all of the group means are equal | one mean exceeds all the others | each sample mean equals its true value | every group variance equals 1,all of the group means are equal
Analysis of variance (ANOVA) (khanacademy.org),"In an ANOVA, a large value of the F statistic provides:",evidence that all the group means are equal | evidence that at least one mean differs | evidence that within-group spread is dominant | evidence that no variability is present at all,evidence that at least one mean differs
Analysis of variance (ANOVA) (khanacademy.org),The F statistic in one-way ANOVA is built by comparing:,the regression slope to the line's intercept | between-group spread to within-group spread | the observed cell counts to expected counts | the mean of each group to its own median,between-group spread to within-group spread
Analysis of variance (ANOVA) (khanacademy.org),"If a one-way ANOVA test is statistically significant, the correct conclusion is that:",at least one group mean differs from the rest | all of the underlying group variances are equal | the largest observed sample mean is the true mean | every group mean differs from every other one,at least one group mean differs from the rest
Solving for an angle in a right triangle,"In a right triangle, which trigonometric ratio of an acute angle equals the opposite side divided by the hypotenuse?",sine | tangent | cosine | secant,sine
Solving for an angle in a right triangle,"To find an acute angle of a right triangle from two known side lengths, after writing the correct trig ratio you must apply:",the technique of completing the square | the law of cosines | an inverse trigonometric function | the natural logarithm function,an inverse trigonometric function
Solving for an angle in a right triangle,"In a right triangle, the side opposite angle θ is 3 and the hypotenuse is 5. To the nearest degree, what is θ?",60° | 53° | 37° | 30°,37°
Solving for an angle in a right triangle,"In a right triangle, the side adjacent to angle θ is 4 and the hypotenuse is 5. What is cos(θ)?",1/5 | 3/5 | 4/5 | 5/4,4/5
Solving for an angle in a right triangle,"In a right triangle, the side opposite angle θ is 7 and the side adjacent to θ is 24. Which expression gives the measure of θ?",θ = tan(7/24) | θ = tan^-1(7/24) | θ = sin^-1(7/24) | θ = cos^-1(7/24),θ = tan^-1(7/24)
Sine and cosine of complementary angles,"If two acute angles are complementary, the sum of their measures is:",90° | 180° | 360° | 45°,90°
Sine and cosine of complementary angles,Which identity correctly relates the sine and cosine of complementary angles?,tan(θ) = sin(90° - θ) | cos(θ) = -sin(90° - θ) | sin(θ) = cos(θ) always | sin(θ) = cos(90° - θ),sin(θ) = cos(90° - θ)
Sine and cosine of complementary angles,"Using the relationship between complementary angles, the value of cos(60°) is:",1 | 1/2 | √3/2 | 0,1/2
Sine and cosine of complementary angles,"For an acute angle θ, sin(θ) = 4/5. What is the value of cos(90° - θ)?",4/5 | 3/5 | 1/5 | 5/4,4/5
Sine and cosine of complementary angles,"Because of the complementary-angle relationship, which pair of values must be equal?",sin(25°) and sin(65°) | sin(25°) and cos(65°) | cos(25°) and cos(65°) | tan(25°) and cos(65°),sin(25°) and cos(65°)
"The reciprocal trigonometric ratios (Cosecant, Secant, Cotangent)",Which trigonometric ratio is defined as the reciprocal of the sine ratio?,cotangent | cosecant | secant | cosine,cosecant
"The reciprocal trigonometric ratios (Cosecant, Secant, Cotangent)","In a right triangle, tan(θ) = opposite/adjacent. What is cot(θ) in terms of the same sides?",opposite/hypotenuse | hypotenuse/opposite | hypotenuse/adjacent | adjacent/opposite,adjacent/opposite
"The reciprocal trigonometric ratios (Cosecant, Secant, Cotangent)","If sin(θ) = 3/5, what is the value of csc(θ)?",4/5 | 3/5 | 5/4 | 5/3,5/3
"The reciprocal trigonometric ratios (Cosecant, Secant, Cotangent)","If cos(θ) = 12/13, what is the value of sec(θ)?",13/5 | 12/13 | 5/13 | 13/12,13/12
"The reciprocal trigonometric ratios (Cosecant, Secant, Cotangent)","If tan(θ) = 7, what is the value of cot(θ)?",14 | -7 | 1/7 | 7,1/7
"Trig values of special angles (π/6,π/4,π/3)",What is the exact value of sin(π/6)?,1/2 | 0 | √3/2 | √2/2,1/2
"Trig values of special angles (π/6,π/4,π/3)",What is the exact value of cos(π/4)?,1/2 | 1 | √2/2 | √3/2,√2/2
"Trig values of special angles (π/6,π/4,π/3)",What is the exact value of tan(π/3)?,1 | 1/√3 | 2 | √3,√3
"Trig values of special angles (π/6,π/4,π/3)",Which first-quadrant angle has a cosine equal to √3/2?,π/3 | π/6 | π/2 | π/4,π/6
"Trig values of special angles (π/6,π/4,π/3)",What is the exact value of sin(π/3)?,1 | √2/2 | √3/2 | 1/2,√3/2
"Amplitude, midline, and period of sinusoidal functions","For the function y = A sin(Bx) + D, which equation gives the midline?",y = A | y = B | y = 0 always | y = D,y = D
"Amplitude, midline, and period of sinusoidal functions",What is the period of the function y = sin(2x)?,2π | π | 1/2 | 4π,π
"Amplitude, midline, and period of sinusoidal functions","For the function y = 3 cos(x) − 2, what is the amplitude?",2 | 5 | 1 | 3,3
"Amplitude, midline, and period of sinusoidal functions","For the function y = −2 sin(4x) + 1, which equation gives the midline?",y = 0 | y = 4 | y = −2 | y = 1,y = 1
Transforming and graphing sinusoidal functions,How does the graph of y = −sin(x) compare to the graph of y = sin(x)?,Reflected over the x-axis | Shifted up by 1 | Shifted right by π | Period is halved,Reflected over the x-axis
Transforming and graphing sinusoidal functions,"Compared to y = sin(x), how is the graph of y = sin(x − π/2) transformed?",Reflected over y-axis | Shifted right by π/2 | Shifted left by π/2 | Stretched vertically,Shifted right by π/2
Transforming and graphing sinusoidal functions,Which of these sinusoidal functions has a period of exactly π?,y = cos(x/2) | y = sin(x) | y = sin(2x) | y = cos(x),y = sin(2x)
Transforming and graphing sinusoidal functions,What is the maximum value of the function y = 2 cos(x) + 1?,1 | 2 | −1 | 3,3
Transforming and graphing sinusoidal functions,"Compared to y = sin(x), how is the graph of y = sin(x) − 4 shifted?",Up by 4 | Right by 4 | Down by 4 | Left by 4,Down by 4
Modeling with sinusoidal functions (including phase shift),A sinusoidal function is the appropriate model when a data set shows which kind of behavior over time?,"Random scatter with no pattern | A single one-time exponential decay | Steady, constant linear growth | Repeating cyclical oscillation",Repeating cyclical oscillation
Modeling with sinusoidal functions (including phase shift),"In the model y = A sin(B(x - C)) + D, the constant C represents which feature of the graph?",The vertical midline shift | The peak-to-midline amplitude | The horizontal phase shift | The period of one cycle,The horizontal phase shift
Modeling with sinusoidal functions (including phase shift),A sinusoidal function written as y = A sin(Bx) has period 12. What is the value of B?,B = 12π | B = 2π/12 | B = π/12 | B = 12/(2π),B = 2π/12
Modeling with sinusoidal functions (including phase shift),A Ferris wheel reaches its maximum height at time t = 2 rather than at t = 0. Which feature of a sinusoidal model accounts for this horizontal offset?,The vertical midline | The phase shift | A reflection across the x-axis | The amplitude factor,The phase shift
Modeling with sinusoidal functions (including phase shift),What is the range of the function y = 5 sin(x) + 10?,"[0, 10] | [5, 15] | [10, 15] | [-5, 5]","[5, 15]"
Unit circle introduction,"By definition, what is the radius of the unit circle?",0 | 1 | π | 2,1
Unit circle introduction,A point on the unit circle at angle θ (measured from the positive x-axis) has which coordinates?,"(1, tan θ) | (tan θ, 1) | (sin θ, cos θ) | (cos θ, sin θ)","(cos θ, sin θ)"
Unit circle introduction,Which point on the unit circle corresponds to the angle θ = 0?,"(-1, 0) | (0, 1) | (1, 0) | (0, -1)","(1, 0)"
Unit circle introduction,Which point on the unit circle corresponds to the angle θ = π/2?,"(1, 0) | (0, 1) | (0, -1) | (-1, 0)","(0, 1)"
Unit circle introduction,"A point on the unit circle has coordinates (√3/2, 1/2). What is sin(θ) for this angle?",1/2 | 1 | √3/2 | 0,1/2
Radians & Degrees,An angle of π radians is equal to how many degrees?,360° | 90° | 180° | 270°,180°
Radians & Degrees,"To convert an angle measured in degrees to radians, you multiply the degree measure by which factor?",360/π | 2π | π/180 | 180/π,π/180
Radians & Degrees,Convert the angle 60° to radians.,π/6 | 2π/3 | π/3 | 3π/2,π/3
Radians & Degrees,Convert the angle π/4 radians to degrees.,45° | 90° | 60° | 30°,45°
Radians & Degrees,Convert the angle 210° to radians.,2π/3 | 7π/6 | 5π/6 | 3π/2,7π/6
The Pythagorean identity,Which equation is the fundamental Pythagorean identity in trigonometry?,sec²(x) + csc²(x) = 1 | sin²(x) - cos²(x) = 1 | tan(x) + cot(x) = 1 | sin²(x) + cos²(x) = 1,sin²(x) + cos²(x) = 1
The Pythagorean identity,"Geometrically, why is the identity sin²(x) + cos²(x) = 1 true?",It is simply the degree-to-radian conversion rule | It holds only for acute angles in a triangle | It restates the unit-circle equation x² + y² = 1 | It is the defining equation of the tangent function,It restates the unit-circle equation x² + y² = 1
The Pythagorean identity,"Given that sin(x) = 3/5 and x is an acute angle, find cos(x).",-4/5 | 5/4 | 3/4 | 4/5,4/5
The Pythagorean identity,"Given that cos(x) = 5/13 and x is an acute angle, find sin(x).",√(5/13) | 12/13 | 13/12 | 5/12,12/13
The Pythagorean identity,"Using a Pythagorean identity, rewrite the expression 1 - sin²(x) as a single squared trig function.",cos²(x) | tan²(x) | sec²(x) | csc²(x),cos²(x)
"Graphs of sin(x),cos(x), and tan(x)","Among the basic graphs of sin(x), cos(x), and tan(x), which one has vertical asymptotes?",sin(x) | tan(x) | cos(x) | All three,tan(x)
"Graphs of sin(x),cos(x), and tan(x)",Which two trigonometric functions have an amplitude of 1 in their basic graphs?,sin and tan | cos and tan | sin and cos | sec and csc,sin and cos
"Graphs of sin(x),cos(x), and tan(x)",What is the period of y = tan(x)?,π | 1 | 2π | π/2,π
"Graphs of sin(x),cos(x), and tan(x)",What is the value of sin(x) at x = 0?,0 | 1 | Undefined | -1,0
"Graphs of sin(x),cos(x), and tan(x)",What is the value of cos(x) at x = 0?,Undefined | 1 | -1 | 0,1
Law of sines,"In any triangle, the Law of Sines states a constant relationship between which quantities?",Two sides and the included angle's sine | Two sides and the tangent of an angle | Each side and the cosine of its angle | Each side and the sine of its opposite angle,Each side and the sine of its opposite angle
Law of sines,Which triangle configuration is especially well suited to solving with the Law of Sines?,"SSS (three sides) | SAS (two sides, included angle) | Right triangles only | AAS or ASA (two angles, one side)","AAS or ASA (two angles, one side)"
Law of sines,"Using a/sin(A) = b/sin(B) with A = 30°, a = 5, and B = 60°, what is b?",5 | 10 | 5/√3 | 5√3,5√3
Law of sines,"In a triangle, if A = 45°, B = 45°, and a = 8, then b equals what?",8 | 4 | 16 | 8√2,8
Law of sines,Why can the SSA case (two sides and a non-included angle) be ambiguous?,It applies only to obtuse triangles | The sine of an angle can be negative | No valid triangle can ever be formed | Two different triangles may fit the data,Two different triangles may fit the data
Law of cosines,The Law of Cosines is most directly useful for which triangle configurations?,Right triangles only | ASA and AAS only | SAS and SSS | Angle-angle-angle (AAA),SAS and SSS
Law of cosines,"Using the Law of Cosines, find c if a = 3, b = 4, and C = 90°.",1 | √7 | 5 | 7,5
Law of cosines,"Using the Law of Cosines, find c if a = 5, b = 5, and C = 60°.",5√2 | 5 | √50 | 10,5
Solving general triangles and word problems,Solving a general (oblique) triangle means determining what?,The enclosed area only | All side lengths and all angles | Just one missing angle | The perimeter value only,All side lengths and all angles
Solving general triangles and word problems,"For an ASA triangle (two angles with the side between them), which law is usually applied first?",The Law of Sines | The Law of Cosines | The Pythagorean theorem | Special right-triangle rules,The Law of Sines
Solving general triangles and word problems,"If two angles of a triangle measure 50° and 60°, what is the third angle?",90° | 50° | 80° | 70°,70°
Solving general triangles and word problems,"A surveyor measures two sides of a triangular plot and the angle between them, then wants the third side. Which law is the natural first choice?",The tangent ratio | The Law of Cosines | The Law of Sines | Inverse cosine alone,The Law of Cosines
Solving general triangles and word problems,"In any triangle, the longest side lies opposite which feature?",The largest angle | The smallest angle | The sum of the other sides | A right angle only,The largest angle
Inverse trigonometric functions,"For a value x in [-1, 1], what does sin^-1(x) return?",The cosine of the angle x | The value of sin(x) squared | The reciprocal value 1/sin(x) | The angle whose sine equals x,The angle whose sine equals x
Inverse trigonometric functions,"Why are the domains of sine, cosine, and tangent restricted before defining their inverse functions?",To keep all output angles strictly positive | To make each function one-to-one so an inverse exists | Because inverses are only defined using degrees | Because reciprocals are undefined on the full domain,To make each function one-to-one so an inverse exists
Inverse trigonometric functions,"Evaluate sin^-1(1/2), giving the principal value in radians.",π/2 | π/4 | π/6 | π/3,π/6
Inverse trigonometric functions,"Evaluate cos^-1(0), giving the principal value in radians.",0 | π/4 | π/2 | π,π/2
Inverse trigonometric functions,"Evaluate tan^-1(1), giving the principal value in radians.",π/4 | π/2 | π/6 | π/3,π/4
Solving sinusoidal equations,"When solving sin(x) = 1/2 over one full period, why does the equation usually have two solutions?",The sine function is undefined at two points each cycle | Every trigonometric equation must yield exactly two roots | The value 1/2 happens to have two distinct reciprocals | The curve hits the same y-value at two x-values per cycle,The curve hits the same y-value at two x-values per cycle
Solving sinusoidal equations,What is the fundamental period of sin(x) and cos(x)?,π/2 | π | 4π | 2π,2π
Solving sinusoidal equations,Solve sin(x) = 0 on the interval 0 ≤ x < 2π.,"x = 0, π | x = 0, 2π | x = π/2, 3π/2 | x = π only","x = 0, π"
